id,host_id,host_name,host_since,host_response_rate,host_listings_count,host_total_listings_count,city,state,zipcode,country,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,cancellation_policy,reviews_per_month,host_year,host_month,host_quarter,host_tenure_days
1145148,6278931,Jessie Rey & Maketa,2013-05-07,100.0,1.0,1.0,seattle,WA,98106,United States,House,Entire home/apt,5,1.0,3.0,3.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",250.0,1500.0,2200.0,200.0,50.0,5,25.0,2,14,13,98.0,moderate,0.42,2013,5,2,4662
7039427,36912090,Yidian,2015-06-28,100.0,1.0,1.0,seattle,WA,98126,United States,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,""Pets live on this property"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",""Hair Dryer"",""Laptop Friendly Workspace""}",39.0,350.0,1360.0,0.0,10.0,1,6.0,1,1125,42,99.0,moderate,8.46,2015,6,2,3880
7527242,12680177,Julieta,2014-02-28,100.0,1.0,1.0,seattle,WA,98106,United States,House,Entire home/apt,6,1.0,3.0,3.0,Real Bed,"{TV,Internet,Kitchen,""Hot Tub"",""Indoor Fireplace"",""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials}",95.0,650.0,2800.0,1500.0,0.0,2,0.0,30,365,3,93.0,strict,0.63,2014,2,1,4365
8286095,43689477,Sarah,2015-09-08,100.0,1.0,1.0,seattle,WA,98126,United States,House,Private room,2,0.5,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Smoking Allowed"",""Pets Allowed"",Gym,""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}",97.0,567.0,2200.0,0.0,0.0,1,0.0,1,1,0,96.0,flexible,0.0,2015,9,3,3808
9238818,50893,Chris,2009-11-02,100.0,10.0,10.0,seattle,WA,98106,United States,House,Entire home/apt,4,1.0,2.0,3.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Heating,""Family/Kid Friendly"",Washer,Dryer,Shampoo,Hangers,Iron}",102.0,685.0,2600.0,1500.0,199.0,1,0.0,3,1125,2,88.0,strict,1.18,2009,11,4,5944
3025456,14128353,Heidi,2014-04-10,100.0,1.0,1.0,seattle,WA,98126,United States,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo}",60.0,450.0,2200.0,0.0,0.0,1,0.0,1,1125,70,96.0,flexible,4.01,2014,4,2,4324
6888107,4485033,Hamlin,2012-12-25,100.0,1.0,1.0,seattle,WA,98126,United States,Townhouse,Private room,4,1.5,1.0,3.0,Real Bed,"{TV,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door""}",49.0,650.0,2200.0,250.0,25.0,2,25.0,1,1125,13,97.0,strict,2.06,2012,12,4,4795
3242605,2733106,Jessica,2012-06-24,100.0,1.0,1.0,seattle,WA,98136,United States,House,Private room,2,1.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",60.0,380.0,1700.0,0.0,0.0,2,10.0,1,1125,109,94.0,flexible,5.74,2012,6,2,4979
6118198,2355349,Kellie,2012-05-12,100.0,1.0,1.0,seattle,WA,98136,United States,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,""24-Hour Check-in"",Iron,""Laptop Friendly Workspace""}",79.0,650.0,2200.0,0.0,20.0,1,0.0,2,1125,23,97.0,moderate,2.8,2012,5,2,5022
189156,179030,Harriet,2010-07-24,100.0,1.0,1.0,seattle,WA,98136,United States,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",76.0,488.0,1650.0,200.0,50.0,2,0.0,2,60,106,96.0,moderate,2.01,2010,7,3,5680
6990677,10918906,Eric,2013-12-30,100.0,1.0,1.0,seattle,WA,98136,United States,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Wireless Internet"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",110.0,650.0,2500.0,250.0,40.0,2,100.0,2,1125,18,96.0,moderate,2.89,2013,12,4,4425
8194886,1977631,Amanda,2012-03-20,100.0,1.0,1.0,seattle,WA,98136,United States,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",Gym,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Shampoo}",110.0,650.0,2200.0,0.0,0.0,1,0.0,2,7,0,96.0,flexible,0.0,2012,3,1,5075
8645226,41178788,Ronda,2015-08-11,100.0,1.0,1.0,seattle,WA,98136,United States,House,Private room,2,1.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Cat(s),Heating,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",59.0,650.0,2200.0,0.0,0.0,1,10.0,1,1125,11,96.0,flexible,3.67,2015,8,3,3836
859467,4500127,Michael Joseph,2012-12-26,100.0,3.0,3.0,seattle,WA,98136,United States,House,Entire home/apt,7,1.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",""Suitable for Events"",""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",195.0,1250.0,2200.0,300.0,75.0,2,10.0,1,1125,48,89.0,strict,1.44,2012,12,4,4794
9096972,47428920,Kevin,2015-10-25,100.0,1.0,1.0,seattle,WA,98116,United States,House,Entire home/apt,3,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,""Free Parking on Premises"",Breakfast,""Pets live on this property"",Dog(s),Cat(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,Iron,""Laptop Friendly Workspace""}",85.0,1100.0,3000.0,250.0,50.0,2,10.0,1,1125,2,100.0,flexible,2.0,2015,10,4,3761
1246117,1169181,Steve,2011-09-16,100.0,1.0,1.0,seattle,WA,98136,United States,House,Entire home/apt,7,2.0,3.0,4.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",200.0,890.0,2490.0,0.0,95.0,1,0.0,2,1125,27,96.0,moderate,1.75,2011,9,3,5261
7665415,3286649,Michael,2012-08-17,100.0,1.0,1.0,seattle,WA,98116,United States,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials}",109.0,670.0,2163.0,100.0,65.0,0,0.0,1,1125,9,91.0,strict,2.5,2012,8,3,4925
8583457,17895568,Candace,2014-07-09,100.0,2.0,2.0,seattle,WA,98116,United States,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",""Buzzer/Wireless Intercom"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",200.0,650.0,2200.0,500.0,100.0,2,0.0,2,1125,5,100.0,strict,1.72,2014,7,3,4234
146301,33360,Laura,2009-08-23,100.0,6.0,6.0,seattle,WA,98136,United States,House,Entire home/apt,6,1.0,2.0,4.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials}",135.0,945.0,3200.0,200.0,0.0,6,0.0,3,60,10,94.0,strict,0.28,2009,8,3,6015
677266,30559,Angielena,2009-08-09,100.0,5.0,5.0,seattle,WA,98108,United States,House,Private room,2,3.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),""Buzzer/Wireless Intercom"",Heating,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",70.0,390.0,1200.0,100.0,10.0,1,10.0,2,30,59,92.0,strict,1.47,2009,8,3,6029
9419,30559,Angielena,2009-08-09,100.0,5.0,5.0,seattle,WA,98108,United States,House,Private room,2,3.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",90.0,580.0,1500.0,100.0,0.0,1,10.0,2,30,79,91.0,strict,1.19,2009,8,3,6029
